date,adj_close
12/25/1985,207.14
12/26/1985,207.65
12/27/1985,209.61
12/30/1985,210.68
12/31/1985,211.28
1/1/1986,211.28
1/2/1986,209.59
1/3/1986,210.88
1/6/1986,210.65
1/7/1986,213.8
1/8/1986,207.97
1/9/1986,206.11
1/10/1986,205.96
1/13/1986,206.72
1/14/1986,206.34
1/15/1986,208.26
1/16/1986,209.17
1/17/1986,208.43
1/20/1986,207.53
1/21/1986,205.79
1/22/1986,203.49
1/23/1986,204.25
1/24/1986,206.43
1/27/1986,207.39
1/28/1986,209.81
1/29/1986,210.29
1/30/1986,209.33
1/31/1986,211.78
2/3/1986,213.96
2/4/1986,212.79
2/5/1986,212.96
2/6/1986,213.47
2/7/1986,214.56
2/10/1986,216.24
2/11/1986,215.92
2/12/1986,215.97
2/13/1986,217.4
2/14/1986,219.76
2/17/1986,219.76
2/18/1986,222.45
2/19/1986,219.76
2/20/1986,222.22
2/21/1986,224.62
2/24/1986,224.34
2/25/1986,223.79
2/26/1986,224.04
2/27/1986,226.77
2/28/1986,226.92
3/3/1986,225.42
3/4/1986,224.38
3/5/1986,224.34
3/6/1986,225.13
3/7/1986,225.57
3/10/1986,226.58
3/11/1986,231.69
3/12/1986,232.54
3/13/1986,233.19
3/14/1986,236.55
3/17/1986,234.67
3/18/1986,235.78
3/19/1986,235.6
3/20/1986,236.54
3/21/1986,233.34
3/24/1986,235.33
3/25/1986,234.72
3/26/1986,237.3
3/27/1986,238.97
3/28/1986,238.97
3/31/1986,238.9
4/1/1986,235.14
4/2/1986,235.71
4/3/1986,232.47
4/4/1986,228.69
4/7/1986,228.63
4/8/1986,233.52
4/9/1986,233.75
4/10/1986,236.44
4/11/1986,235.98
4/14/1986,237.79
4/15/1986,237.73
4/16/1986,242.22
4/17/1986,243.03
4/18/1986,242.38
4/21/1986,244.74
4/22/1986,242.42
4/23/1986,241.75
4/24/1986,242.02
4/25/1986,241.98
4/28/1986,243.08
4/29/1986,240.51
4/30/1986,235.52
5/1/1986,235.16
5/2/1986,234.79
5/5/1986,237.73
5/6/1986,237.24
5/7/1986,236.08
5/8/1986,237.96
5/9/1986,237.85
5/12/1986,237.58
5/13/1986,236.43
5/14/1986,237.54
5/15/1986,234.43
5/16/1986,232.75
5/19/1986,233.2
5/20/1986,236.11
5/21/1986,235.45
5/22/1986,240.12
5/23/1986,241.35
5/26/1986,241.35
5/27/1986,244.75
5/28/1986,246.63
5/29/1986,247.98
5/30/1986,247.35
6/2/1986,245.04
6/3/1986,245.51
6/4/1986,243.94
6/5/1986,245.65
6/6/1986,245.67
6/9/1986,239.96
6/10/1986,239.58
6/11/1986,241.13
6/12/1986,241.49
6/13/1986,245.72
6/16/1986,246.13
6/17/1986,244.35
6/18/1986,244.99
6/19/1986,244.06
6/20/1986,247.56
6/23/1986,245.26
